corp_name,stock_code,category,delisting_date,reason
에이스하이텍,,financial_distress,2015-07-10,감사의견거절(감사범위 제한)
와이즈파워,,financial_distress,2015-07-16,자본전액잠식 등
울트라건설,,financial_distress,2015-04-13,자본전액잠식
영진코퍼레이션,,financial_distress,2015-04-23,자본전액잠식
터보테크,,financial_distress,2015-01-27,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
태창파로스,,financial_distress,2015-05-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
해피드림,,financial_distress,2015-05-04,감사범위제한으로 인한 한정의견
잘만테크,,financial_distress,2015-05-13,감사의견 거절(계속기업 존속능력에 대한 불확실성 및 감사범위 제한)
씨앤케이인터,,financial_distress,2015-05-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
디아이디,,financial_distress,2015-07-23,"기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
KCW,,financial_distress,2015-09-18,"기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
GT&T,,financial_distress,2015-10-15,'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절
승화프리텍,,financial_distress,2016-01-25,"기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
우양에이치씨,,financial_distress,2015-03-17,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지
티에스엠텍,,financial_distress,2015-05-20,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
디지텍시스템,,financial_distress,2015-01-21,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
아이팩토리,,financial_distress,2016-09-19,감사의견 거절(감사범위 제한 및 기업회계기준 위배)
씨그널엔터테인먼트그룹,,financial_distress,2018-05-04,감사의견거절(감사범위 제한)
위노바,,financial_distress,2018-03-09,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
엔에스브이,,financial_distress,2017-09-12,"감사의견 거절(내부회계관리제도상의 취약점, 계속기업가정의 불확실성 및 재고자산 관련 감사범위 제한)"
제이앤유글로벌,,financial_distress,2016-05-09,감사의견거절(감사범위 제한)
완리,,financial_distress,2018-05-23,감사의견거절(감사범위 제한)
엠제이비,,financial_distress,2016-09-05,감사의견거절(감사범위 제한)
스틸플라워,,financial_distress,2018-05-08,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
아이디에스,,financial_distress,2016-04-28,'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절
비엔씨컴퍼니,,financial_distress,2017-05-08,감사범위제한으로 인한 한정의견
케이엔씨글로벌,,financial_distress,2017-03-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
에스에스컴텍,,financial_distress,2017-05-11,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
신텍,,financial_distress,2018-07-09,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
피엘에이,,financial_distress,2016-07-25,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
씨엘인터내셔널,,financial_distress,2016-09-08,2반기 연속 자본잠식률 50% 이상
우전,,financial_distress,2017-04-13,자본전액잠식 등
신양오라컴,,financial_distress,2017-05-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
프리젠,,financial_distress,2017-02-24,최근 5사업연도 연속 영업손실 발생
인포피아,,financial_distress,2016-05-09,감사의견 거절(감사범위 제한으로 인한 의견거절)
아이이,,financial_distress,2017-12-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
플렉스컴,,financial_distress,2016-04-12,자본전액잠식
썬코어,,financial_distress,2018-03-15,'16사업연도 감사의견거절(계속기업 존속능력에 대한 불확실성) 및 '17사업연도 반기 감사의견거절(계속기업 존속능력에 대한 불확실성)
지디,,financial_distress,2018-10-12,감사의견 거절(감사범위 제한)
에임하이,,financial_distress,2018-08-10,감사의견거절(감사범위 제한)
우성아이비,,financial_distress,2018-10-12,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
위너지스,,financial_distress,2018-10-11,감사의견거절(감사범위 제한)
모다,,financial_distress,2020-07-10,감사의견거절(감사범위 제한)
레이젠,,financial_distress,2018-10-11,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
파티게임즈,,financial_distress,2020-09-09,감사의견거절(감사범위 제한)
C&S자산관리,,financial_distress,2018-10-11,감사의견거절(범위제한 및 계속기업 존속능력에 대한 불확실성)
넥스지,,financial_distress,2018-10-11,감사의견거절(감사범위제한)
트레이스,,financial_distress,2018-10-11,감사의견거절(감사범위 제한)
에프티이앤이,,financial_distress,2019-05-03,감사의견 거절(감사범위 제한)
차이나하오란,,financial_distress,2019-01-02,제28조제1항제9호에 따라 관리종목 지정 후 공시규정 제19조 제1항에 따른 분기보고서 법정기한 내 미제출
이엠네트웍스,,financial_distress,2021-10-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
엠피씨플러스,,financial_distress,2023-05-08,감사의견 거절(감사범위 제한)
아이엠텍,,financial_distress,2021-06-11,감사의견 거절(감사범위 제한)
이노와이즈,,financial_distress,2021-08-31,감사의견 거절(감사범위 제한)
에스에프씨,,financial_distress,2020-06-30,감사의견 거절(감사범위 제한)
에이치디,,financial_distress,2021-04-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
아리온,,financial_distress,2024-05-03,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
피앤텔,,financial_distress,2020-05-21,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
자안바이오,,financial_distress,2022-01-05,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
현진소재,,financial_distress,2022-04-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
지유온,,financial_distress,2021-09-30,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
세영디앤씨,,financial_distress,2022-05-27,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
뉴로스,,financial_distress,2022-10-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
지나인제약,,financial_distress,2023-07-21,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
제이테크놀로지,,financial_distress,2019-12-12,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
코썬바이오,,financial_distress,2020-08-11,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
팍스넷,,financial_distress,2021-08-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
제이웨이,,financial_distress,2023-04-14,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
