market_cap_rank,corp_name,market_cap
1,알테오젠,162099.0
2,에코프로,108485.0
3,에코프로비엠,107809.0
4,레인보우로보틱스,82643.0
5,주성엔지니어링,68002.0
6,리노공업,53120.0
7,원익IPS,50360.0
8,피에스케이,42031.0
9,HLB,41425.0
10,에이비엘바이오,40927.0
11,파마리서치,37351.0
12,이오테크닉스,37020.0
13,삼천당제약,35726.0
14,리가켐바이오,35539.0
15,심텍,33643.0
16,파두,32816.0
17,케어젠,30349.0
18,HPSP,29710.0
19,클래시스,29372.0
20,휴젤,29038.0
21,ISC,28807.0
22,로보티즈,28428.0
23,디앤디파마텍,27869.0
24,테스,26639.0
25,유진테크,25391.0
26,서진시스템,25174.0
27,제주반도체,24730.0
28,펩트론,24670.0
29,에스티팜,24447.0
30,보로노이,23671.0
31,실리콘투,23509.0
32,올릭스,23253.0
33,피에스케이홀딩스,23029.0
34,티에스이,22455.0
35,하나마이크론,22308.0
36,현대무벡스,21752.0
37,솔브레인,21235.0
38,동진쎄미켐,21178.0
39,펄어비스,20833.0
40,티씨케이,20771.0
41,브이엠,19534.0
42,셀트리온제약,18050.0
43,고영,17904.0
44,파크시스템스,17541.0
45,우리기술,17366.0
46,테크윙,17211.0
47,메지온,16588.0
48,에스엠,16141.0
49,LS마린솔루션,16116.0
50,JYP Ent.,16114.0
51,에스피지,16101.0
52,대한광통신,15580.0
53,네이처셀,15497.0
54,엘앤씨바이오,15373.0
55,두산테스나,14863.0
56,씨젠,14440.0
57,비츠로셀,14237.0
58,기가비스,14222.0
59,비에이치아이,14002.0
60,에임드바이오,13743.0
61,원익홀딩스,12860.0
62,코미코,12697.0
63,성호전자,12623.0
64,코오롱티슈진,12533.0
65,RFHIC,12215.0
66,오스코텍,12013.0
67,대주전자재료,11935.0
68,제이에스링크,11416.0
69,하림지주,11111.0
70,하나머티리얼즈,11095.0
71,HK이노엔,11077.0
72,씨어스,10543.0
73,삼현,10432.0
74,에스에이엠티,10189.0
75,오름테라퓨틱,10013.0
76,태성,9894.0
77,리브스메드,9464.0
78,스피어,8893.0
79,쎄트렉아이,8750.0
80,코스메카코리아,8736.0
81,SFA반도체,8535.0
82,차바이오텍,8321.0
83,에스앤에스텍,8310.0
84,동국제약,8309.0
85,카카오게임즈,8279.0
86,샘씨엔에스,8117.0
87,LS머트리얼즈,8105.0
88,제이앤티씨,8064.0
89,삼표시멘트,8061.0
90,휴림로봇,7915.0
91,씨엠티엑스,7888.0
92,레이크머티리얼즈,7782.0
93,신성델타테크,7627.0
94,지엔씨에너지,7608.0
95,성광벤드,7582.0
96,와이씨,7556.0
97,알지노믹스,7547.0
98,GST,7519.0
99,와이지엔터테인먼트,7420.0
100,덕산네오룩스,7387.0
101,SFA,7289.0
102,제룡전기,7260.0
103,로킷헬스케어,7215.0
104,미래에셋벤처투자,7150.0
105,다우데이타,7141.0
106,유일로보틱스,7081.0
107,케이아이엔엑스,7047.0
108,피엔티,6989.0
109,루닛,6984.0
110,와이지-원,6940.0
111,원익QnC,6848.0
112,큐리옥스바이오시스템즈,6752.0
113,CJ ENM,6721.0
